feature,importance_mean,importance_std
minimum_nights,0.25590247708588765,0.00193604886960152
accommodates,0.21764847994285272,0.004879862971499125
longitude,0.09355198635039635,0.0029447689098667253
room_type,0.06681282575301542,0.0022719317753154508
bathrooms,0.060476406164322274,0.0021774007852613303
latitude,0.05335943730981435,0.0007754992895985857
bedrooms,0.032406385071104014,0.0012803677270008505
property_type,0.02515555698743559,0.00144264718331642
availability_365,0.02247367865763398,0.0010980342414070136
neighbourhood_cleansed,0.019169489022096232,0.0006689971599816403
amenities_count,0.01653255338833759,0.0005976113694018982
number_of_reviews,0.008633382896101095,0.00042662648114642754
review_scores_location,0.0070763340373829475,0.00044734694156742407
review_scores_rating,0.005206879461954772,0.0003059216750550067
review_scores_value,0.005172073451761805,0.000594374280073486
maximum_nights,0.004215708802178852,0.0005147882288083546
review_scores_cleanliness,0.003667857042487466,0.0003791295301125408
beds,0.0012498431353628158,0.0002678812566790545
host_is_superhost,0.0005127877520997859,5.557178688260003e-05
