neighbourhood_cleansed,latitude,longitude
Acton,34.504545,-118.203280
Adams-Normandie,34.030611,-118.300399
Agoura Hills,34.152805,-118.764042
Agua Dulce,34.513060,-118.325330
Alhambra,34.085660,-118.132540
Alondra Park,33.892660,-118.332060
Altadena,34.184340,-118.137319
Angeles Crest,34.280886,-118.034820
Arcadia,34.125483,-118.045060
Arleta,34.242557,-118.435950
Arlington Heights,34.044932,-118.321118
Artesia,33.864480,-118.073670
Athens,33.921943,-118.299030
Atwater Village,34.117405,-118.261455
Avalon,33.343160,-118.328250
Avocado Heights,34.042660,-117.998070
Azusa,34.127545,-117.904610
Baldwin Hills/Crenshaw,34.016465,-118.357481
Baldwin Park,34.081382,-117.963570
Bel-Air,34.090900,-118.460250
Bell,33.973166,-118.184990
Bell Gardens,33.965870,-118.160808
Bellflower,33.885478,-118.131675
Beverly Crest,34.105445,-118.424903
Beverly Grove,34.075769,-118.371920
Beverly Hills,34.065958,-118.389940
Beverlywood,34.046675,-118.394477
Boyle Heights,34.044415,-118.206104
Brentwood,34.053640,-118.469035
Broadway-Manchester,33.933507,-118.274784
Burbank,34.173640,-118.336800
Calabasas,34.145830,-118.642990
Canoga Park,34.204840,-118.602058
Carson,33.834140,-118.266910
Carthay,34.060380,-118.371787
Castaic,34.470768,-118.629455
Castaic Canyons,34.452990,-118.469831
Central-Alameda,34.013930,-118.245990
Century City,34.052515,-118.418981
Cerritos,33.867430,-118.074600
Charter Oak,34.102690,-117.843761
Chatsworth,34.256410,-118.583140
Chatsworth Reservoir,34.236392,-118.626420
Chesterfield Square,33.982040,-118.313125
Cheviot Hills,34.035940,-118.402970
Chinatown,34.064010,-118.241048
Citrus,34.120830,-117.896840
Claremont,34.104580,-117.718916
Commerce,34.006285,-118.162305
Compton,33.899232,-118.241932
Covina,34.092950,-117.880131
Cudahy,33.968810,-118.187250
Culver City,34.012495,-118.395825
Cypress Park,34.090310,-118.224250
Del Aire,33.920200,-118.369160
Del Rey,33.990675,-118.425020
Desert View Highlands,34.588605,-118.159005
Diamond Bar,33.998317,-117.815850
Downey,33.933444,-118.135710
Downtown,34.044933,-118.256675
Duarte,34.137888,-117.976489
Eagle Rock,34.134411,-118.211670
East Compton,33.898500,-118.188990
East Hollywood,34.092780,-118.299070
East Los Angeles,34.047480,-118.178951
East Pasadena,34.143154,-118.077760
East San Gabriel,34.122430,-118.076820
East Whittier,33.921674,-117.988775
Echo Park,34.082316,-118.254506
El Monte,34.076894,-118.022980
El Segundo,33.922830,-118.411040
El Sereno,34.081640,-118.176280
Elizabeth Lake,34.657880,-118.392480
Elysian Park,34.069015,-118.236875
Elysian Valley,34.099363,-118.243664
Encino,34.163450,-118.512530
Exposition Park,34.023450,-118.306040
Fairfax,34.083345,-118.352940
Florence,33.970670,-118.270060
Florence-Firestone,33.978997,-118.249020
Gardena,33.897710,-118.311186
Glassell Park,34.117610,-118.233570
Glendale,34.147715,-118.255560
Glendora,34.133336,-117.856227
Gramercy Park,33.949758,-118.307860
Granada Hills,34.271595,-118.505815
Green Meadows,33.943517,-118.260577
Green Valley,34.619750,-118.404533
Griffith Park,34.160886,-118.307326
Hacienda Heights,33.996285,-117.962955
Hancock Park,34.079525,-118.340295
Harbor City,33.791900,-118.302252
Harbor Gateway,33.839500,-118.303740
Harvard Heights,34.044813,-118.305147
Harvard Park,33.987440,-118.304431
Hasley Canyon,34.466730,-118.658510
Hawaiian Gardens,33.827610,-118.073855
Hawthorne,33.917020,-118.350340
Hermosa Beach,33.862630,-118.399425
Hidden Hills,34.171778,-118.658856
Highland Park,34.117740,-118.194311
Historic South-Central,34.021885,-118.262558
Hollywood,34.098101,-118.336620
Hollywood Hills,34.114232,-118.332325
Hollywood Hills West,34.103590,-118.373600
Huntington Park,33.983224,-118.226459
Hyde Park,33.987305,-118.328225
Industry,34.011360,-117.884755
