neighbourhood_cleansed,avg_price,median_price,num_listings
Beverly Crest,1194.744625,1079.47,160
Unincorporated Catalina Island,1148.625,1317.75,8
Malibu,1039.390298013245,858.3,302
Hollywood Hills West,987.6466972477064,853.33,545
Bel-Air,985.0020370370371,841.815,54
Avalon,914.9652895752896,848.0,259
Unincorporated Santa Monica Mountains,833.3408074534161,616.33,161
Palos Verdes Estates,795.4438888888889,374.575,18
Manhattan Beach,735.5530487804878,580.25,410
Cheviot Hills,669.0038461538461,550.09,13
Pacific Palisades,625.0972043010753,413.11,93
Veterans Administration,624.22,548.25,51
Hidden Hills,582.0533333333334,662.33,3
Fairfax,567.7816203703704,259.88,216
Tarzana,555.6455428571429,325.81,175
Rancho Palos Verdes,555.5225581395349,287.655,86
Beverlywood,553.0304166666666,257.19,24
Universal City,546.965,430.66999999999996,38
Beverly Grove,540.8022377622377,284.3,429
Encino,533.4537073170732,273.63,205
Hermosa Beach,532.6305426356589,419.635,258
Westlake Village,520.6859999999999,480.85,10
Marina del Rey,519.8285760517799,436.0,309
Lopez/Kagel Canyons,518.7185714285714,463.42,7
Ladera Heights,510.58660714285713,406.565,56
Beverly Hills,503.36657894736845,339.06,608
Topanga,500.6426182965299,355.35,317
La Canada Flintridge,492.1853333333333,351.99,30
Sherman Oaks,478.3649315068493,251.75,438
Hollywood Hills,473.4387130434783,293.48,575
Venice,472.1486984640258,318.95,1237
Studio City,460.5342056074767,268.5,321
Angeles Crest,459.95666666666665,444.41999999999996,6
Sierra Madre,450.86607142857144,336.08500000000004,28
Sepulveda Basin,440.2083333333333,471.845,6
San Marino,438.78875,401.95,8
Unincorporated Santa Susana Mountains,438.37840909090914,300.5,44
Agoura Hills,435.6764,363.13,50
Commerce,427.910625,341.0,16
Stevenson Ranch,423.64631578947365,466.0,19
Century City,419.9640625,230.855,32
Playa del Rey,418.59349397590364,313.05,83
Val Verde,414.67,414.67,1
Windsor Square,407.2458823529412,155.03,17
Granada Hills,405.01637931034486,343.635,58
Castaic,404.93882352941176,152.33,17
West Hollywood,403.76289007092197,319.265,1128
View Park-Windsor Hills,402.67812154696134,265.12,181
Valley Village,400.4876119402985,245.8,134
Acton,397.670625,234.0,16
Santa Monica,390.70479611650484,328.83000000000004,1030
Rolling Hills Estates,387.92055555555555,287.58,18
Los Feliz,385.60696078431374,239.655,204
Agua Dulce,381.1417391304348,180.0,23
Tujunga Canyons,380.862,281.67,15
Chatsworth,374.7079545454546,236.405,88
Castaic Canyons,370.9327906976744,372.44,43
Vernon,366.3280571428572,330.0,175
Leona Valley,363.898,223.92,5
La Crescenta-Montrose,363.16346153846155,317.0,26
Culver City,361.9893046357616,299.03,604
La Habra Heights,356.71799999999996,97.55000000000001,10
Woodland Hills,355.71898901098905,211.3,455
Southeast Antelope Valley,352.81685714285715,241.9,35
Redondo Beach,351.49828042328045,255.58999999999997,378
Northwest Antelope Valley,350.8014285714286,331.0,7
Altadena,349.4611702127659,260.855,94
Brentwood,348.0596153846154,164.54,156
Playa Vista,347.19239130434784,309.825,46
Calabasas,345.30514285714287,256.0,105
Hancock Park,345.117794117647,243.32999999999998,68
Ridge Route,344.9811111111111,191.0,9
Toluca Lake,342.1033783783784,268.34000000000003,74
Carthay,336.0978947368421,238.0,95
East Whittier,333.0,387.75,4
Alondra Park,332.9888888888889,303.5,18
Del Aire,330.85985074626865,237.0,67
Gramercy Park,329.41818181818184,159.0,44
Citrus,324.67,367.01,3
Valley Glen,324.57454054054057,225.5,185
South Pasadena,324.09166666666664,248.035,90
Westchester,322.9755,198.07999999999998,220
North Whittier,321.504,153.0,5
West Hills,319.82062893081763,240.5,159
Compton,319.57758064516133,226.12,62
Westmont,319.3729213483146,309.0,89
Northridge,319.10438848920865,165.03,139
Mar Vista,317.3320512820513,193.065,234
Chatsworth Reservoir,317.05,262.0,4
Broadway-Manchester,316.0983333333333,303.205,12
Burbank,314.6357962962963,243.04000000000002,540
Pasadena,309.3800143884892,242.1,695
Mount Washington,308.29021276595745,243.95999999999998,94
East Pasadena,306.62561643835613,256.0,73
San Pasqual,305.8565,332.0,20
San Fernando,305.7845,269.0,40
Mayflower Village,302.45923076923077,273.40999999999997,52
Santa Fe Springs,301.85615384615386,183.0,13
Porter Ranch,301.19214285714287,182.15,28
Glendale,300.3056487341772,255.865,632
Rolling Hills,298.834,217.5,5
Avocado Heights,298.1044,252.0,25
Silver Lake,297.21569518716575,199.39999999999998,374
Lake Hughes,293.22749999999996,264.0,8
Torrance,293.20493548387094,211.0,310
Long Beach,292.672211362248,223.0,1637
Santa Clarita,292.51440559440556,212.615,286
Del Rey,291.91942307692307,198.61,208
Glendora,290.20336134453777,265.5,119
Larchmont,289.0729230769231,209.93,65
El Segundo,285.51730434782604,279.77,115
Hawthorne,283.1870588235294,228.24,255
Baldwin Hills/Crenshaw,281.62538461538463,158.92000000000002,104
Bellflower,281.61310344827587,253.5,58
Chinatown,277.32685714285714,277.3,35
Atwater Village,277.01410256410253,215.72500000000002,78
Lawndale,276.3757731958763,243.33,97
North El Monte,275.861,286.0,20
Montebello,274.0695238095238,226.75,42
Downtown,272.1274893162393,220.78,936
Lennox,271.75575757575757,250.49,66
Valinda,270.11105263157896,217.5,38
Desert View Highlands,269.84,304.91499999999996,6
Manchester Square,269.46610169491527,183.55,59
Eagle Rock,269.2602962962963,173.75,135
Pico Rivera,268.925,254.175,50
Whittier,268.14363636363635,217.0,110
Inglewood,266.53346578366444,171.18,453
Claremont,266.42673469387756,217.58,49
Monterey Park,266.0150530035335,204.02,283
San Pedro,263.68180555555557,170.275,144
Athens,263.386,205.67,15
