room_type,price_rank,neighbourhood_cleansed,num_listings,avg_price,median_price
Entire home/apt,1,Beverly Crest,146,1279.02,1225.0
Entire home/apt,2,Bel-Air,42,1201.98,1005.0
Entire home/apt,3,Malibu,284,1063.35,870.0
Entire home/apt,4,Hollywood Hills West,499,1053.54,947.27
Entire home/apt,5,Avalon,241,938.12,869.5
Entire home/apt,6,Unincorporated Santa Monica Mountains,153,862.84,670.0
Entire home/apt,7,Manhattan Beach,377,780.68,624.0
Entire home/apt,8,Pacific Palisades,75,725.88,510.69
Entire home/apt,9,Tarzana,143,648.27,422.0
Entire home/apt,10,Veterans Administration,50,634.62,548.25
Entire home/apt,11,Rancho Palos Verdes,59,630.21,353.98
Entire home/apt,12,Beverly Grove,350,623.41,342.0
Entire home/apt,13,Fairfax,193,616.78,313.43
Entire home/apt,14,Ladera Heights,44,613.96,488.98
Entire home/apt,15,Encino,178,589.85,339.97
Entire home/apt,16,Hermosa Beach,227,584.25,457.0
Entire home/apt,17,Universal City,37,557.96,444.34
Entire home/apt,18,Beverly Hills,487,538.16,380.67
Entire home/apt,19,Sherman Oaks,383,531.04,303.34
Entire home/apt,20,Marina del Rey,295,527.19,456.33
Entire home/apt,21,Hollywood Hills,496,517.71,347.37
Entire home/apt,22,Agoura Hills,41,513.93,431.27
Entire home/apt,23,Topanga,304,508.71,355.48
Entire home/apt,24,Studio City,283,495.1,314.9
Entire home/apt,25,Brentwood,91,483.72,242.08
Entire home/apt,26,Venice,1092,469.72,320.79
Entire home/apt,27,View Park-Windsor Hills,147,460.86,316.11
Entire home/apt,28,Vernon,132,456.38,377.0
Entire home/apt,29,Playa del Rey,70,449.94,313.05
Entire home/apt,30,Chatsworth,60,439.27,333.51
Entire home/apt,31,Century City,30,435.39,231.29
Entire home/apt,32,Granada Hills,53,434.53,364.0
Entire home/apt,33,Valley Village,116,422.99,249.0
Entire home/apt,34,Castaic Canyons,35,419.58,372.44
Entire home/apt,35,Santa Monica,814,413.51,343.0
Entire home/apt,36,Woodland Hills,374,410.17,264.5
Entire home/apt,37,Culver City,488,410.14,344.64
Entire home/apt,38,Redondo Beach,256,407.95,306.98
Entire home/apt,39,West Hollywood,924,406.24,327.0
Entire home/apt,40,Carthay,68,403.92,272.5
Entire home/apt,41,Los Feliz,192,402.01,248.29
Entire home/apt,42,Westwood,186,401.87,222.94
Entire home/apt,43,Toluca Lake,60,398.81,341.21
Entire home/apt,44,Compton,43,398.72,284.73
Entire home/apt,45,Altadena,77,393.03,290.0
Entire home/apt,46,Santa Clarita,184,392.13,326.5
Entire home/apt,47,Calabasas,88,390.19,294.0
Entire home/apt,48,Baldwin Hills/Crenshaw,67,388.62,273.78
Entire home/apt,49,Hacienda Heights,147,387.54,281.67
Entire home/apt,50,Del Aire,52,387.42,254.0
Entire home/apt,51,Hancock Park,56,386.89,266.07
